936	14004
715	7850
1558	4508
1558	12852
544	13664
1244	10288
128	10640
128	2701
1509	9332
2087	11143
2408	6808
2408	5518
1398	4586
1797	6004
2378	11830
1073	2522
258	10646
33	11683
217	5274
321	20697
321	4629
469	19257
469	2720
480	376
1149	9481
1525	12543
1141	9253
2381	3482
2163	8469
429	3273
1907	10481
1474	3961
299	4644
334	10661
2047	8524
416	19475
2511	21503
902	6661
1124	15647
2394	13251
1643	2779
1001	6638
599	556
1606	18687
893	11620
2037	21543
2037	8519
324	8519
707	11829
707	8042
1862	15434
1475	8650
1475	12654
722	12995
975	13422
2324	20693
2100	20731
704	18206
1092	13747
1246	17191
1246	21594
907	13994
1423	9727
2155	4509
2155	17864
2155	4318
720	13398
1193	4493
1193	5592
1903	10674
1953	11438
1905	7800
