39	937
31	722
1	839
100	162
100	753
2	1329
104	1037
118	1269
32	1244
32	1102
6	910
91	215
91	50
54	488
38	18
71	1234
13	835
3	696
46	108
110	531
60	1230
116	149
75	202
117	733
122	737
25	278
24	1219
16	183
124	172
90	36
111	899
95	595
17	380
15	281
126	596
114	1005
65	1368
47	1041
47	812
26	928
26	847
20	853
23	1326
57	167
121	185
43	813
21	360
21	865
30	1290
101	863
78	1199
78	123
28	617
89	480
52	292
109	932
120	741
120	586
55	1246
112	317
44	539
40	1252
8	695
36	1355
9	519
94	351
108	477
96	1344
22	390
42	1188
34	786
4	1177
