2017	19
1179	1562
1439	791
1895	1350
2061	1127
457	143
700	132
1213	1464
503	1339
2082	273
1002	1060
2562	497
750	411
504	871
2066	1613
1664	782
836	933
1776	408
2607	2293
2108	1884
271	1975
231	1397
1817	754
1988	389
2338	2288
2416	976
146	1812
1495	2271
1300	1722
1586	305
527	51
1114	756
1677	1394
1125	1948
1981	1067
1219	882
384	140
2094	1570
1960	1582
526	418
2520	328
852	841
1555	947
2309	2179
1156	1726
2355	1351
985	877
2294	1795
1269	106
225	760
1248	211
40	1558
1283	240
1910	1516
1542	1912
2132	1128
128	1099
305	772
1072	945
2381	212
1243	2119
2379	1037
1995	2137
889	1945
1346	1918
35	1040
1980	1749
1510	1002
1901	1867
606	1438
1938	73
1289	2212
798	1281
2498	1543
287	1915
1150	1716
25	806
1352	767
1143	2146
19	1409
2552	1443
2408	1007
812	318
1826	1034
1871	402
1168	1990
1423	2049
2449	1551
205	276
1381	923
193	536
995	1445
1787	1634
1231	330
2349	1594
1608	247
1952	2018
78	1667
1319	632
580	33
207	1054
1308	1301
2104	831
1388	763
1324	1984
9	1885
2229	1953
2571	1161
1806	1372
1755	511
1491	1650
401	2000
654	2292
1211	2040
943	358
1321	2027
1398	1996
1621	1480
328	955
