482	2114
1184	25
936	412
1889	996
2504	1704
680	1887
179	407
2037	1954
57	899
495	1103
2049	838
740	1177
494	1492
552	1538
643	698
837	1584
741	157
1092	1356
598	238
698	1745
1789	1306
1237	22
263	847
1991	2190
1322	1449
2205	1482
2008	1236
1797	690
1165	1137
2597	1982
1641	1120
659	2042
1650	1079
2493	787
2233	1304
1919	399
1090	1692
1962	867
32	944
1822	1760
1502	206
349	2241
2288	1393
1749	160
1678	161
315	1411
2529	1568
1259	1017
2279	1414
724	1400
2005	1382
204	167
574	514
752	1277
1915	2084
2575	97
613	1826
1666	1158
1338	1925
2118	1144
339	1361
1361	1906
466	510
891	88
318	2086
1462	290
2535	40
2414	1508
108	2252
1434	1269
2291	936
277	363
962	574
796	1331
2177	1817
2101	2197
334	1333
119	1478
1064	315
1013	76
1385	127
303	1911
1316	989
2436	600
916	2083
188	749
1375	929
212	1310
1511	676
2287	85
2237	2218
1848	656
608	2229
2473	451
609	428
861	2253
300	1742
1629	1978
2236	2060
2318	1512
587	144
1387	410
826	562
1697	390
506	1378
29	2280
1273	1045
1733	493
978	179
1956	1677
1690	695
166	209
437	185
2350	253
493	401
614	20
327	1055
