122	108
40	2
107	28
93	52
115	90
43	96
44	26
128	100
11	47
127	57
0	44
58	62
126	82
7	85
33	41
84	87
59	10
15	71
19	18
47	92
67	67
56	1
69	45
114	109
75	79
39	81
119	63
68	39
34	59
6	102
25	58
36	103
27	56
112	43
46	66
101	24
14	89
109	46
5	50
73	93
120	16
90	113
64	75
55	11
35	12
82	77
121	86
61	53
60	78
54	76
118	74
53	13
13	33
63	65
99	106
1	7
23	95
32	61
81	99
16	60
88	72
87	97
116	32
100	6
83	107
111	20
124	3
96	83
26	114
105	64
65	49
71	22
113	35
72	69
31	94
10	110
86	70
28	80
8	21
129	4
94	8
78	98
74	51
102	36
104	105
48	42
92	48
57	68
123	38
62	5
49	111
79	37
21	112
108	30
22	29
91	115
76	91
20	101
50	104
70	84
18	9
95	27
80	34
41	23
130	73
3	116
66	54
52	31
117	14
106	88
37	40
42	17
110	15
77	19
125	25
24	0
85	55
