862	2502
308	3098
1103	1440
624	296
1002	802
1188	1024
648	305
1077	992
171	1472
859	803
130	1794
91	1644
812	2627
812	2797
1182	801
1182	1531
865	2496
266	2384
958	554
958	2445
1206	537
654	314
1166	2167
878	194
774	367
1042	2352
1277	1031
814	2507
1261	2389
113	1687
121	1768
968	2310
1281	551
1281	1029
1088	975
1189	571
0	1878
994	828
1236	1347
442	2180
877	195
585	2517
1139	2197
815	2660
815	2817
497	1569
899	2933
508	168
87	1609
459	2523
1251	533
573	1646
573	2634
552	541
1279	1030
857	2505
